player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Aaron Cresswell,1421,15.78888888888889,0,0,3,2,0,3,39,2.4375,2.1281838892977896
Aaron Hickey,680,7.555555555555555,0,1,1,4,0,0,13,1.4444444444444444,1.9436506316151
Aaron Ramsdale,1440,16,0,0,7,0,0,3,63,3.9375,2.619637379485947
Aaron Wan-Bissaka,184,2.0444444444444443,0,0,2,0,0,3,16,5.333333333333333,4.041451884327381
Abdoulaye Doucouré,190,2.111111111111111,0,0,0,0,0,0,10,1.1111111111111112,0.3333333333333333
Adam Armstrong,874,9.71111111111111,1,1,1,0,0,3,35,2.1875,1.973786547054502
Adam Forshaw,156,1.7333333333333334,0,0,0,0,0,0,6,1.2,0.44721359549995793
Adam Lallana,611,6.788888888888889,2,1,4,0,0,4,42,3.230769230769231,3.6321216516393955
Adam Smith,1485,16.5,0,1,4,4,0,5,40,2.3529411764705883,2.977859476003448
Adam Webster,1170,13,0,0,4,1,0,0,33,2.5384615384615383,2.3669736167866557
Adama Traoré,690,7.666666666666667,1,1,1,0,0,0,29,2.0714285714285716,1.7304639535412156
Ainsley Maitland-Niles,535,5.944444444444445,0,0,1,2,0,0,13,1.4444444444444444,0.5270462766947299
Albert Sambi Lokonga,195,2.1666666666666665,0,0,0,0,0,0,8,1.3333333333333333,0.5163977794943222
Alejandro Garnacho,153,1.7,1,0,0,2,0,0,9,1.8,1.9235384061671346
Aleksandar Mitrovic,1193,13.255555555555556,10,2,4,4,0,11,76,5.428571428571429,4.7992673433522155
Alex Iwobi,1512,16.8,1,5,4,1,0,5,62,3.6470588235294117,2.9567967564280657
Alex Mighten,7,0.07777777777777778,0,0,0,0,0,0,1,1,NA
Alex Oxlade-Chamberlain,157,1.7444444444444445,0,0,0,0,0,0,7,1.4,0.5477225575051661
Alexander Isak,243,2.7,2,0,1,0,0,4,18,6,3.605551275463989
Alexis Mac Allister,1256,13.955555555555556,5,0,4,4,0,11,62,4.428571428571429,4.467218816673743
Alisson,1440,16,0,1,4,0,0,7,70,4.375,4.349329450233296
Allan Saint-Maximin,409,4.544444444444444,1,4,2,1,0,4,35,3.888888888888889,4.28498671072748
Alphonse Areola,106,1.1777777777777778,0,0,0,0,0,0,2,1,0
Amadou Onana,1214,13.488888888888889,0,2,5,5,0,0,36,2.25,1.1832159566199232
Andreas Pereira,1414,15.71111111111111,2,6,4,3,0,6,69,4.0588235294117645,2.486729484566378
Andrew Robertson,1010,11.222222222222221,0,5,2,0,0,7,53,3.7857142857142856,3.2148351178816053
Angelo Ogbonna,115,1.2777777777777777,0,0,0,0,0,0,3,1,0
Anthony Elanga,369,4.1,0,1,2,0,0,0,19,1.5833333333333333,1.0836246694508318
Anthony Gordon,1071,11.9,3,0,4,6,0,2,42,2.8,2.4842360136324753
Anthony Martial,344,3.8222222222222224,3,2,2,0,0,1,29,4.142857142857143,3.0783421635988546
Antonee Robinson,1288,14.311111111111112,0,0,4,4,0,0,33,2.2,2.4260491103261463
Antony,646,7.177777777777778,3,0,4,1,0,1,34,4.25,2.434865792722759
Armando Broja,285,3.1666666666666665,1,1,1,0,0,0,21,1.75,1.3568010505999362
Armel Bella Kotchap,994,11.044444444444444,0,1,0,1,0,0,18,1.5,1.243163121016122
Ashley Young,906,10.066666666666666,1,0,4,3,0,6,43,3.3076923076923075,3.6602507970678593
Asmir Begovic,90,1,0,0,1,0,0,2,9,9,NA
Aymeric Laporte,285,3.1666666666666665,0,0,1,0,0,0,9,2.25,2.6299556396765835
Ayoze Pérez,288,3.2,0,2,1,0,0,0,17,2.4285714285714284,1.9023794624226837
Ben Chilwell,415,4.611111111111111,1,2,2,1,0,0,32,3.5555555555555554,3.6094013046179527
Ben Davies,1085,12.055555555555555,2,1,4,2,0,0,49,3.5,2.7103789119150568
Ben Godfrey,121,1.3444444444444446,0,0,0,0,0,0,4,1.3333333333333333,0.5773502691896257
Ben Johnson,487,5.411111111111111,0,0,1,0,0,1,16,2.2857142857142856,2.138089935299395
Ben Mee,1388,15.422222222222222,2,1,5,1,0,6,64,4,4.131182235954578
Ben Pearson,212,2.3555555555555556,0,0,1,1,0,0,7,1.4,0.5477225575051661
Ben White,1299,14.433333333333334,0,2,8,3,0,6,69,4.3125,2.676284738214527
Bernardo Silva,1153,12.811111111111112,2,6,5,2,0,6,65,4.333333333333333,3.638419332360584
Bernd Leno,1350,15,0,0,3,0,0,8,55,3.6666666666666665,3.062834043978286
Billy Gilmour,104,1.1555555555555554,0,0,0,1,0,0,6,1,0
