player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Average_Bonus,Points_Standard_Deviation
Aaron Cresswell,22,0.24444444444444444,0,0,0,0,0,0,1,1,0,NA
Aaron Ramsdale,90,1,0,0,1,0,0,0,6,6,0,NA
Aaron Wan-Bissaka,68,0.7555555555555555,0,0,1,0,0,0,6,6,0,NA
Abdoulaye Doucouré,32,0.35555555555555557,0,0,0,1,0,0,0,0,0,NA
Adam Armstrong,26,0.28888888888888886,0,0,0,0,0,0,1,1,0,NA
Adam Lallana,12,0.13333333333333333,0,0,0,0,0,0,1,1,0,NA
Adam Smith,62,0.6888888888888889,0,0,0,1,0,0,0,0,0,NA
Adama Traoré,45,0.5,0,0,0,0,0,0,1,1,0,NA
Alejandro Garnacho,45,0.5,0,1,0,0,0,0,4,4,0,NA
Aleksandar Mitrovic,90,1,1,0,1,1,0,0,5,5,0,NA
Alex Iwobi,90,1,0,1,0,1,0,0,4,4,0,NA
Alex Oxlade-Chamberlain,82,0.9111111111111111,1,0,0,0,0,2,9,9,2,NA
Alexis Mac Allister,28,0.3111111111111111,0,0,0,0,0,0,1,1,0,NA
Alisson,90,1,0,0,0,0,0,0,2,2,0,NA
Allan Saint-Maximin,3,0.03333333333333333,0,0,0,0,0,0,1,1,0,NA
Andreas Pereira,148,1.6444444444444444,0,1,0,1,0,0,5,5,0,NA
Andrew Robertson,45,0.5,0,0,0,0,0,0,1,1,0,NA
Anthony Elanga,21,0.23333333333333334,0,0,0,0,0,0,1,1,0,NA
Anthony Martial,68,0.7555555555555555,0,0,1,0,0,0,2,2,0,NA
Antonee Robinson,180,2,0,0,1,1,0,1,8,8,1,NA
Armel Bella Kotchap,33,0.36666666666666664,0,0,0,0,0,0,1,1,0,NA
Ashley Young,45,0.5,0,0,0,0,0,0,1,1,0,NA
Ayoze Pérez,90,1,0,0,0,0,0,0,2,2,0,NA
Ben Davies,4,0.044444444444444446,0,0,0,0,0,0,1,1,0,NA
Ben Mee,90,1,0,0,0,0,0,0,2,2,0,NA
