Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,4,0,0,0,0,0,6,0,21,50.2,0.0,0.0,5.0,1,0.00000,0.00052,0.00052,3.54560,2
Granit Xhaka,90,1,0,0,1,0,0,0,0,0,0,2,29,36.2,20.2,31.0,8.7,1,0.33240,0.16707,0.49947,1.57420,9
Thomas Partey,72,1,0,0,1,0,0,0,0,0,0,3,39,53.6,46.4,15.0,11.5,1,0.06330,0.07179,0.13509,1.55950,10
Martin Odegaard,79,0,0,0,1,0,0,0,0,0,0,0,9,6.8,16.8,18.0,4.2,1,0.10820,0.04079,0.14899,1.57420,2
Kieran Tierney,17,0,0,0,0,0,0,0,0,0,0,0,3,5.8,3.4,7.0,1.6,0,0.01930,0.02564,0.04494,0.01480,1
Ben White,88,0,1,0,1,0,0,0,0,0,0,0,27,34.8,31.4,3.0,6.9,1,0.02300,0.37414,0.39714,1.57420,5
Eddie Nketiah,10,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,2.0,0.3,0,0.00000,0.01708,0.01708,0.00000,1
Bukayo Saka,90,0,0,0,1,0,0,0,0,0,0,0,17,21.2,69.0,34.0,12.4,1,0.27310,0.20199,0.47509,1.57420,2
Takehiro Tomiyasu,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0.00000,0.00004,0.00004,0.00000,1
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,2,0,12,19.2,0.0,0.0,1.9,1,0.00000,0.00164,0.00164,1.57420,2
Gabriel,90,0,0,0,1,0,0,0,0,0,0,0,11,10.6,3.4,2.0,1.6,1,0.00000,0.01725,0.01725,1.57420,2
Albert Sambi Lokonga,17,0,0,0,0,0,0,0,0,0,0,0,3,1.6,3.5,0.0,0.5,0,0.00000,0.01788,0.01788,0.01480,1
Gabriel Martinelli,90,0,1,0,1,0,0,0,1,0,0,0,21,26.4,27.2,48.0,10.2,1,0.12470,0.11654,0.24124,1.57420,4
Ainsley Maitland-Niles,66,0,0,0,2,0,0,0,1,0,0,0,1,5.0,0.9,0.0,0.6,1,0.00000,0.00792,0.00792,1.45960,1
Fábio Vieira,10,0,0,0,0,0,0,0,0,0,0,0,3,5.8,15.0,18.0,3.9,0,0.08070,0.10078,0.18148,0.00000,1
William Saliba,90,0,0,0,1,0,0,0,1,0,0,0,14,19.2,2.4,4.0,2.6,1,0.00000,0.02700,0.02700,1.57420,1
Gabriel Jesus,79,1,0,0,1,0,0,0,0,0,0,2,29,46.2,12.9,89.0,14.8,1,1.41790,0.03124,1.44914,1.57420,8
Philippe Coutinho,90,0,0,1,0,0,0,0,0,0,0,0,9,12.0,16.1,52.0,8.0,1,0.48550,0.03929,0.52479,0.37000,3
Danny Ings,7,0,0,0,0,0,0,0,0,0,0,0,4,2.0,10.3,0.0,1.2,0,0.00000,0.00495,0.00495,0.06510,1
Emiliano Martinez,90,0,0,1,0,0,0,0,0,0,1,0,24,12.4,0.0,0.0,1.2,1,0.00000,0.00245,0.00245,0.37000,6
John McGinn,90,0,0,1,0,0,0,0,0,0,0,0,11,16.2,4.5,17.0,3.8,1,0.08180,0.27700,0.35880,0.37000,3
Tyrone Mings,90,0,0,1,0,0,0,0,0,0,0,0,21,8.0,0.5,18.0,2.7,1,0.02350,0.02944,0.05294,0.37000,6
Ollie Watkins,90,0,0,1,0,0,0,0,0,0,0,0,-4,8.2,15.9,91.0,11.5,1,1.19990,0.02938,1.22928,0.37000,2
Emiliano Buendía,26,0,0,0,0,0,0,0,0,0,0,0,5,2.0,12.6,5.0,2.0,0,0.01680,0.08483,0.10163,0.16250,1
Ezri Konsa Ngoyo,90,0,0,1,0,0,0,0,0,0,0,0,17,14.8,2.0,7.0,2.4,1,0.35820,0.01572,0.37392,0.37000,6
Leon Bailey,63,0,0,1,0,0,0,0,1,0,0,0,2,4.2,18.7,21.0,4.4,1,0.07840,0.08717,0.16557,0.20750,2
Douglas Luiz,90,0,0,1,0,0,0,0,0,0,0,1,25,22.6,28.1,0.0,5.1,1,0.00000,0.11941,0.11941,0.37000,4
Jacob Ramsey,82,0,0,1,0,0,0,0,0,0,0,0,9,9.2,23.9,13.0,4.6,1,0.07110,0.03633,0.10743,0.30480,3
Adam Smith,90,0,0,1,0,0,0,0,0,0,0,2,30,15.6,15.3,0.0,3.1,1,0.00000,0.05913,0.05913,0.86800,8
Kieffer Moore,71,0,0,1,0,0,0,0,0,0,0,0,5,3.6,13.1,4.0,2.1,1,0.00000,0.11516,0.11516,0.40120,2
Jefferson Lerma,90,0,0,1,0,0,0,0,1,0,0,0,9,11.4,4.8,40.0,5.6,1,0.17150,0.06453,0.23603,0.86800,2
Dominic Solanke,90,0,0,1,0,0,0,0,0,0,0,0,5,6.2,21.7,8.0,3.6,1,0.05580,0.13128,0.18708,0.86800,2
Lewis Cook,90,0,0,1,0,0,0,0,0,0,0,0,10,5.2,2.1,0.0,0.7,1,0.00000,0.00611,0.00611,0.86800,3
Ryan Christie,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0,0.00000,0.01189,0.01189,0.46680,1
Philip Billing,90,0,0,1,0,0,0,0,0,0,0,0,2,7.6,2.2,5.0,1.5,1,0.04560,0.00530,0.05090,0.86800,3
Chris Mepham,90,0,0,1,0,0,0,0,0,0,0,0,25,30.4,0.0,0.0,3.0,1,0.00000,0.00138,0.00138,0.86800,6
Jordan Zemura,90,0,0,1,0,0,0,0,0,0,0,0,18,9.4,2.1,0.0,1.2,1,0.00000,0.01914,0.01914,0.86800,6
Pontus Jansson,63,0,0,1,0,0,0,0,0,0,0,0,23,9.8,0.2,6.0,1.6,1,0.02180,0.00346,0.02526,0.26460,6
Ivan Toney,90,0,0,1,0,0,0,0,1,0,0,0,-5,4.6,4.5,75.0,8.4,1,0.57840,0.03452,0.61292,0.38130,1
David Raya,90,0,0,1,0,0,0,0,0,0,0,0,25,6.6,0.0,0.0,0.7,1,0.00000,0.00142,0.00142,0.38130,6
Josh Dasilva,29,0,0,0,0,0,0,0,0,0,0,0,7,3.8,26.9,0.0,3.1,0,0.00000,0.31509,0.31509,0.11670,1
Kristoffer Ajer,60,0,0,1,0,0,0,0,0,0,0,0,25,4.2,3.3,9.0,1.7,1,0.03570,0.01418,0.04988,0.26460,6
Rico Henry,90,0,0,1,0,0,0,0,0,0,0,0,22,17.8,13.6,2.0,3.3,1,0.00000,0.02688,0.02688,0.38130,6
Vitaly Janelt,90,0,0,1,0,0,0,0,0,0,0,0,18,14.8,22.6,0.0,3.7,1,0.00000,0.06233,0.06233,0.38130,3
Mathias Jensen,90,0,0,1,0,0,0,0,0,0,0,0,16,19.8,32.8,2.0,5.5,1,0.00000,0.10912,0.10912,0.38130,3
Yoane Wissa,29,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.3,18.0,1.9,0,0.04470,0.00190,0.04660,0.11670,1
Frank Onyeka,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.11670,1
Shandon Baptiste,83,0,0,1,0,0,0,0,0,0,0,0,15,12.8,32.7,2.0,4.8,1,0.00000,0.07149,0.07149,0.26460,3
Bryan Mbeumo,60,0,0,1,0,0,0,0,0,0,0,0,3,0.2,8.0,3.0,1.1,1,0.05160,0.02424,0.07584,0.26460,2
Adam Lallana,14,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.1,0.0,0.1,0,0.00000,0.00028,0.00028,0.16360,1
Danny Welbeck,90,0,1,0,3,0,0,0,0,0,0,0,15,31.6,24.4,38.0,9.4,1,0.50320,0.05173,0.55493,1.47140,5
Pascal Groß,64,0,0,0,3,0,0,0,0,0,0,0,4,0.0,3.1,6.0,0.9,1,0.00000,0.05099,0.05099,1.30780,2
Lewis Dunk,90,0,0,0,3,0,0,0,0,0,0,0,12,18.0,0.3,2.0,2.0,1,0.00000,0.00306,0.00306,1.47140,1
Solly March,90,0,1,0,3,0,0,0,0,0,0,1,24,32.2,26.2,4.0,6.2,1,0.00000,0.15128,0.15128,1.47140,6
Adam Webster,90,0,0,0,3,1,0,0,0,0,0,0,13,14.8,0.9,2.0,1.8,1,0.00000,0.00755,0.00755,1.47140,-1
Joël Veltman,90,0,0,0,3,0,0,0,0,0,0,0,11,19.4,0.5,0.0,2.0,1,0.00000,0.00288,0.00288,1.47140,1
Neal Maupay,88,0,0,0,1,0,0,0,0,0,0,0,0,1.6,2.1,72.0,7.6,1,0.45080,0.01190,0.46270,1.52600,2
Leandro Trossard,86,3,0,0,3,0,0,0,0,0,0,3,56,105.0,9.2,74.0,18.8,1,0.86630,0.14607,1.01237,1.34690,20
Robert Sánchez,90,0,0,0,3,0,0,0,0,0,5,0,20,39.2,0.0,0.0,3.9,1,0.00000,0.00047,0.00047,1.47140,2
Tariq Lamptey,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.12450,1
Alexis Mac Allister,90,0,0,0,3,0,0,0,0,0,0,0,14,17.4,6.5,0.0,2.4,1,0.00000,0.02690,0.02690,1.47140,2
Moisés Caicedo,90,0,0,0,3,0,0,0,0,0,0,0,9,8.2,1.5,2.0,1.2,1,0.00000,0.00787,0.00787,1.47140,2
Kaoru Mitoma,25,0,1,0,0,0,0,0,0,0,0,0,10,8.2,1.1,6.0,1.5,0,0.00000,0.00526,0.00526,0.16360,4
Thiago Silva,90,0,1,0,1,0,0,0,1,0,0,2,26,38.4,12.6,18.0,6.9,1,0.15530,0.15008,0.30538,0.43510,6
Jorginho,55,0,0,0,1,0,0,0,0,0,0,0,6,2.2,5.4,0.0,0.8,1,0.00000,0.01396,0.01396,0.31310,1
Mateo Kovacic,90,0,0,0,1,0,0,0,1,0,0,0,2,2.2,6.4,4.0,1.3,1,0.00000,0.05412,0.05412,0.43510,1
Kepa,90,0,0,0,1,0,0,0,0,0,2,0,12,17.6,0.0,0.0,1.8,1,0.00000,0.00136,0.00136,0.43510,2
Ruben Loftus-Cheek,34,0,0,0,0,0,0,0,0,0,0,0,2,2.2,5.1,6.0,1.3,0,0.00000,0.01460,0.01460,0.12200,1
Ben Chilwell,90,0,0,0,1,0,0,0,0,0,0,0,8,10.8,9.9,5.0,2.6,1,0.04380,0.04351,0.08731,0.43510,2
Christian Pulisic,6,0,1,0,0,0,0,0,0,0,0,0,13,20.0,10.5,4.0,3.5,0,0.00000,0.00838,0.00838,0.06180,4
Mason Mount,83,0,0,0,1,0,0,0,1,0,0,0,5,0.0,32.9,14.0,4.7,1,0.19890,0.06778,0.26668,0.37330,1
Kai Havertz,75,0,0,0,1,0,0,0,0,0,0,0,8,3.6,18.2,23.0,4.5,1,0.12190,0.16306,0.28496,0.37330,2
Reece James,90,0,0,0,1,0,0,0,0,0,0,0,16,20.0,30.3,2.0,5.2,1,0.00000,0.15125,0.15125,0.43510,2
Conor Gallagher,14,1,0,0,0,0,0,0,0,0,0,2,26,37.0,0.3,9.0,4.6,0,0.03780,0.00051,0.03831,0.06180,8
Armando Broja,15,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.06180,1
Vicente Guaita,90,0,0,0,2,0,0,0,0,0,1,0,10,10.8,0.0,0.0,1.1,1,0.00000,0.00054,0.00054,1.13870,1
James Tomkins,46,0,0,0,1,0,0,0,0,0,0,0,7,6.6,0.2,0.0,0.7,0,0.00000,0.00056,0.00056,0.39920,1
Joel Ward,90,0,0,0,2,0,0,0,0,0,0,0,8,13.2,0.8,2.0,1.6,1,0.00000,0.00166,0.00166,1.13870,1
Nathaniel Clyne,43,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.4,0.0,0.0,1,0.00000,0.00126,0.00126,0.73950,1
Jordan Ayew,90,0,1,0,2,0,0,0,0,0,0,0,19,27.2,15.9,0.0,4.3,1,0.00000,0.19751,0.19751,1.13870,5
Wilfried Zaha,90,0,0,0,2,0,0,0,0,0,0,0,9,18.6,18.5,25.0,6.2,1,0.06020,0.00777,0.06797,1.13870,2
Jeffrey Schlupp,16,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00000,0.00099,0.00099,0.18540,1
Will Hughes,6,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.0,0.0,0,0.00000,0.00055,0.00055,0.03780,1
Odsonne Edouard,83,1,0,0,1,0,0,0,1,0,0,0,25,36.4,12.1,19.0,6.8,1,0.20250,0.02850,0.23100,1.10090,5
Marc Guehi,90,0,0,0,2,0,0,0,0,0,0,0,15,20.6,0.1,2.0,2.3,1,0.00000,0.00072,0.00072,1.13870,1
